key,category,zh,en,ja,description
exposure.error.cooldownActive,exposure_dialog,冷卻時間中，請於 {{time}} 後再試,Cooling down, please try again after {{time}},クールダウン中、{{time}}後にもう一度お試しください,冷卻時間錯誤
exposure.error.globalLimitExceeded,exposure_dialog,今日曝光額滿，請明日再試,Today's exposure quota is full, please try again tomorrow,本日の露出枠が満杯です。明日もう一度お試しください,全局限額錯誤
exposure.error.penaltyActive,exposure_dialog,因違規行為，曝光功能已暫停至 {{time}},Exposure feature suspended until {{time}} due to violations,違反行為により、{{time}}まで露出機能が一時停止されました,處罰錯誤
exposure.error.insufficientTokens,exposure_dialog,代幣不足（需要：{{required}}，目前：{{current}}）,Insufficient tokens (Need: {{required}}, Current: {{current}}),トークン不足（必要：{{required}}、現在：{{current}}）,代幣不足錯誤
exposure.error.alreadyAtOrHigher,exposure_dialog,目前曝光等級已是相同或更高，無需升級,Current exposure level is already the same or higher, no need to upgrade,現在の露出レベルは既に同じかそれ以上です。アップグレードする必要はありません,等級已達標錯誤
exposure.error.notTopicOwner,exposure_dialog,只有主題建立者可以調整曝光等級,Only topic creators can adjust exposure levels,トピック作成者のみが露出レベルを調整できます,非主題擁有者錯誤
exposure.error.topicNotFound,exposure_dialog,找不到此主題，請重新整理頁面,Topic not found, please refresh the page,トピックが見つかりません。ページを更新してください,主題不存在錯誤
exposure.error.cannotApply,exposure_dialog,無法申請曝光,Cannot apply for exposure,露出を申請できません,無法申請錯誤
exposure.error.checkFailed,exposure_dialog,檢查失敗：{{message}},Check failed: {{message}},確認に失敗しました：{{message}},檢查失敗錯誤
exposure.success.applied,exposure_dialog,曝光申請成功！,Exposure application successful!,露出申請が成功しました！,申請成功提示
exposure.error.applyFailed,exposure_dialog,申請失敗：{{message}},Application failed: {{message}},申請に失敗しました：{{message}},申請失敗錯誤

